name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
"Leandro Barbosa","Golden State Warriors",2016-04-01,2015,2166,1610612744,400829023,4,9,49,0,"Pullup Jump shot","3PT Field Goal",25,"Boston Celtics",82,237,0,0.00,,0.00,0.00
"Stephen Curry","Golden State Warriors",2016-04-01,2015,3975,1610612744,400829023,3,4,45,1,"Pullup Jump shot","3PT Field Goal",25,"Boston Celtics",0,252,0,0.00,,0.00,0.00
"Stephen Curry","Golden State Warriors",2016-04-01,2015,3975,1610612744,400829023,2,2,14,1,"Pullup Jump shot","3PT Field Goal",27,"Boston Celtics",51,272,0,0.00,,0.00,0.00
"Shaun Livingston","Golden State Warriors",2015-11-06,2015,2393,1610612744,400827970,2,8,56,0,"Pullup Jump shot","2PT Field Goal",19,"Denver Nuggets",117,154,3,3.90,"Miller, Mike",4.90,13.00
"Draymond Green","Golden State Warriors",2016-04-01,2015,6589,1610612744,400829023,3,9,44,0,"Pullup Jump shot","3PT Field Goal",27,"Boston Celtics",-183,208,0,0.00,,0.00,0.00
"Harrison Barnes","Golden State Warriors",2016-04-01,2015,6578,1610612744,400829023,1,8,27,1,"Pullup Jump shot","3PT Field Goal",23,"Boston Celtics",235,3,0,0.00,,0.00,0.00
"Klay Thompson","Golden State Warriors",2016-04-01,2015,6475,1610612744,400829023,3,8,19,1,"Pullup Jump shot","3PT Field Goal",27,"Boston Celtics",-1,272,0,0.00,,0.00,0.00
"Stephen Curry","Golden State Warriors",2015-12-02,2015,3975,1610612744,400828155,1,5,44,1,"Pullup Jump shot","3PT Field Goal",24,"Charlotte Hornets",218,116,9,7.60,"Williams, Marvin",6.20,13.40
"Stephen Curry","Golden State Warriors",2015-11-06,2015,3975,1610612744,400827970,3,4,57,0,"Pullup Jump shot","3PT Field Goal",23,"Denver Nuggets",-232,7,6,11.40,"Gallinari, Danilo",2.50,11.80
"Stephen Curry","Golden State Warriors",2016-04-01,2015,3975,1610612744,400829023,3,10,58,1,"Pullup Jump shot","3PT Field Goal",22,"Boston Celtics",-227,0,0,0.00,,0.00,0.00
"Andre Iguodala","Golden State Warriors",2015-12-25,2015,2386,1610612744,400828325,4,9,31,0,"Pullup Jump shot","3PT Field Goal",25,"Cleveland Cavaliers",187,169,1,1.50,"Dellavedova, Matthew",12.60,17.50
"Klay Thompson","Golden State Warriors",2015-12-31,2015,6475,1610612744,400828372,4,1,35,1,"Pullup Jump shot","2PT Field Goal",9,"Houston Rockets",30,90,11,12.00,"Beverley, Patrick",3.00,12.50
"Leandro Barbosa","Golden State Warriors",2016-04-01,2015,2166,1610612744,400829023,3,3,44,1,"Pullup Jump shot","2PT Field Goal",20,"Boston Celtics",-176,111,0,0.00,,0.00,0.00
"Shaun Livingston","Golden State Warriors",2016-04-01,2015,2393,1610612744,400829023,2,10,00,1,"Pullup Jump shot","2PT Field Goal",17,"Boston Celtics",141,106,0,0.00,,0.00,0.00
"Klay Thompson","Golden State Warriors",2016-04-01,2015,6475,1610612744,400829023,4,2,33,0,"Pullup Jump shot","3PT Field Goal",25,"Boston Celtics",-207,154,0,0.00,,0.00,0.00
"Harrison Barnes","Golden State Warriors",2016-04-01,2015,6578,1610612744,400829023,1,3,01,1,"Pullup Jump shot","3PT Field Goal",26,"Boston Celtics",143,218,0,0.00,,0.00,0.00
"Draymond Green","Golden State Warriors",2016-04-01,2015,6589,1610612744,400829023,1,10,48,1,"Pullup Jump shot","3PT Field Goal",23,"Boston Celtics",-230,46,0,0.00,,0.00,0.00
"Klay Thompson","Golden State Warriors",2015-12-31,2015,6475,1610612744,400828372,4,2,24,1,"Pullup Jump shot","2PT Field Goal",13,"Houston Rockets",10,139,1,1.70,"Howard, Dwight",4.20,12.20
"Klay Thompson","Golden State Warriors",2016-04-01,2015,6475,1610612744,400829023,3,5,32,0,"Pullup Jump shot","3PT Field Goal",25,"Boston Celtics",76,242,0,0.00,,0.00,0.00
"Harrison Barnes","Golden State Warriors",2016-04-01,2015,6578,1610612744,400829023,3,6,04,0,"Pullup Jump shot","3PT Field Goal",25,"Boston Celtics",-153,203,0,0.00,,0.00,0.00
"Harrison Barnes","Golden State Warriors",2016-04-01,2015,6578,1610612744,400829023,2,11,04,1,"Pullup Jump shot","3PT Field Goal",27,"Boston Celtics",-9,273,0,0.00,,0.00,0.00
"Draymond Green","Golden State Warriors",2015-12-31,2015,6589,1610612744,400828372,3,8,04,0,"Pullup Jump shot","2PT Field Goal",19,"Houston Rockets",138,139,7,6.50,"Capela, Clint",4.00,4.90
"Klay Thompson","Golden State Warriors",2016-04-01,2015,6475,1610612744,400829023,4,1,56,1,"Pullup Jump shot","3PT Field Goal",25,"Boston Celtics",37,257,0,0.00,,0.00,0.00
"Leandro Barbosa","Golden State Warriors",2016-04-01,2015,2166,1610612744,400829023,4,6,19,1,"Pullup Jump shot","3PT Field Goal",24,"Boston Celtics",238,47,0,0.00,,0.00,0.00
"Draymond Green","Golden State Warriors",2016-04-01,2015,6589,1610612744,400829023,4,4,28,0,"Pullup Jump shot","3PT Field Goal",27,"Boston Celtics",-158,229,0,0.00,,0.00,0.00
"Draymond Green","Golden State Warriors",2015-11-17,2015,6589,1610612744,400828051,3,6,56,0,"Pullup Jump shot","3PT Field Goal",25,"Toronto Raptors",182,183,0,0.80,"Carroll, DeMarre",3.50,11.80
"Shaun Livingston","Golden State Warriors",2015-12-31,2015,2393,1610612744,400828372,4,9,51,1,"Pullup Jump shot","2PT Field Goal",16,"Houston Rockets",-166,11,0,1.50,"Thornton, Marcus",9.80,1.40
